Energy Stat_Weight Aij 
     cm-1       none  1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s       1/s      1/s     1/s
     0.00000000    9  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     950.324000    7  2.23e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     1597.19700    5  0.00e+0  9.71e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     3350.49400   11  9.13e-6  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     4028.98800    9  0.00e+0  0.00e+0  0.00e+0  1.24e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     4560.78900    7  0.00e+0  0.00e+0  0.00e+0  0.00e+0  1.08e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     4950.06200    5  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  5.72e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     5204.69800    3  0.00e+0  0.00e+0  4.33e-5  0.00e+0  0.00e+0  0.00e+0  1.78e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     9812.86000    9  3.36e-2  3.98e-3  0.00e+0  2.90e-2  3.27e-3  5.21e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     10708.3310    7  1.45e-2  2.22e-2  5.60e-3  0.00e+0  4.43e-3  4.95e-3  1.04e-2  1.88e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     11321.8600    5  0.00e+0  2.73e-2  2.81e-2  0.00e+0  0.00e+0  0.00e+0  4.61e-3  1.41e-2  0.00e+0  7.82e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     11651.2770    5  7.61e-3  1.67e-1  7.99e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     13260.6880    5  3.34e-2  6.98e-2  1.82e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  3.01e-2  0.00e+0  0.00e+0  0.00e+0
     13404.3210    3  0.00e+0  2.92e-2  1.19e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  1.99e-3  2.78e-2  0.00e+0  0.00e+0  0.00e+0
     13593.2880    1  0.00e+0  0.00e+0  3.70e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
*** Co II       'Energy and transition probability data'
*** N_LEVELS 15
*** SOURCE1	'A. Kramida & J. E. Sansonetti, unpublished, 2013; NIST march 2017' 
*** NOTE1 	'Energy levels 3d8: a3F, 3d7.(4F).4s: a5F, b3F, 3d8: a1D, a3P; IR transitions only' 
*** SOURCE2	'Storey, P. J. et al. 2016, MNRAS 456, 1974' 
*** NOTE2	'Transition Probabilities, Aij' 
