 0 0   5.e2  1.e3  2.e3  3.e3  4.e3  5.e3  6.e3  7.e3  8.e3  9.e3  1.e4 1.5e4 2.0e4
 1 2   .191  .346  .464  .505  .521  .528  .529  .524  .524  .520  .516  .484  .456
 1 3   .573  1.04  1.39  1.52  1.56  1.58  1.59  1.57  1.57  1.56  1.55  1.45  1.37
 1 4   .956  1.39  2.32  2.53  2.61  2.64  2.64  2.62  2.62  2.60  2.58  2.42  2.28
 1 5   .330  .370  .530  .720  .900  1.06  1.23  1.38  1.70  1.68  1.82  2.53  3.18
 2 3   .260  .400  .610  .780  .870  .950  1.02  1.09  1.15  1.21  1.26  1.48  1.66
 2 4   .200  .320  .470  .610  .680  .750  .800  .860  .900  .950  .990  1.16  1.30
 2 5   .104  .219  .316  .392  .430  .466  .496  .516  .533  .542  .556  .574  .567
 3 4   .800  1.21  1.83  2.34  2.63  2.87  3.09  3.29  3.46  3.63  3.79  4.46  5.00
 3 5   .913  .657  .947  1.18  1.29  1.40  1.49  1.55  1.60  1.63  1.67  1.72  1.70
 4 5   1.52  1.09  1.58  1.96  2.15  2.33  2.48  2.58  2.67  2.71  2.78  2.77  2.83
*** Mg I        'Effective collision strengths data'
*** ATOM 'magnesium'
*** SPECTRUM 1
*** N_LEVELS 5
*** T_UNIT	'K' 
*** SOURCE1	'Barklem, P.S. et al. 2017, Astron. Astrophys. 606, A11' 
*** SOURCE2	'DP 3P-3P: H. Saraph, private communication, oct. 1989'
*** NOTE1 	'Effective Collision Strengths Omega' 
*** GSCONFIG s2
