Energy Stat_Weight Aij 
     cm-1       none  1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s      1/s       1/s      1/s     1/s
     0.00000000   10  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     1189.70000    8  5.67e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     2042.50000    6  0.00e+0  3.58e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     2621.10000    4  0.00e+0  0.00e+0  1.25e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     18118.6000    6  8.57e-2  2.03e-2  5.89e-3  1.23e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     18366.8000    4  0.00e+0  4.42e-2  2.18e-2  6.93e-3  3.43e-4  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     18958.4000    2  0.00e+0  0.00e+0  3.28e-2  4.24e-2  0.00e+0  8.92e-3  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     19829.6000   10  8.43e-1  2.64e-1  9.73e-6  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     20947.6000    8  3.29e-2  3.18e-1  2.35e-1  1.64e-5  0.00e+0  0.00e+0  0.00e+0  2.20e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     23648.9000    4  0.00e+0  1.18e-2  1.81e-1  1.27e-1  3.11e-1  1.58e-1  5.99e-2  0.00e+0  4.4e-08  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     24651.4000    2  0.00e+0  0.00e+0  5.14e-3  5.93e-3  0.00e+0  7.08e-4  3.91e-1  0.00e+0  0.00e+0  1.71e-2  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0 
     26649.1000   12  1.85e-3  1.7e-05  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  9.4e-02  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     27096.5000    6  1.1e-03  1.70e+0  1.8e-01  8.1e-02  1.0e-01  6.5e-02  0.00e+0  6.30e-5  0.00e+0  3.7e-02  2.20e-7  0.00e+0  0.00e+0  0.00e+0  0.00e+0
     27677.6000   10  1.3e-02  6.53e-3  1.6e-05  0.00e+0  0.00e+0  0.00e+0  0.00e+0  3.1e-01  8.9e-02  0.00e+0  0.00e+0  1.60e-2  0.00e+0  0.00e+0  0.00e+0 
     28777.7000    4  0.00e+0  0.00e+0  1.6e+00  8.5e-01  9.0e-03  2.2e-02  2.1e-02  0.00e+0  0.00e+0  3.7e-01  6.4e-02  0.00e+0  7.00e-2  0.00e+0  0.00e+0
*** Ni IV       'Energy and transition probability data'                                                                  
*** N_LEVELS 15
*** SOURCE1	'Poppe, R. 1976, Physica B+C 81, 351' 
*** NOTE1 	'Energy levels 3d7: 4F, 4P, 2G, 2P, 2H, 2D2; 2H and 2D2 are mixed: energies strictly ordered' 
*** SOURCE2	'Meléndez, M. & Bautista, M. A. 2005, A&A 436, 1123 (MB05)' 
*** SOURCE3	'Hansen, J. E. et al. 1984, ApJ 277, 435 (H84)' 
*** NOTE2	'Transition Probabilities, Aij; MB05: up to 2P (11 levels); H84: 2D2, 2H, etc.'
*** GSCONFIG d7
